Page total likes,Category,Post Month,Post Weekday,Post Hour,Paid,Lifetime Post Total Reach,Lifetime Post Total Impressions,Lifetime Engaged Users,Lifetime Post Consumers,Lifetime Post Consumptions,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime People who have liked your Page and engaged with your post,comment,like,share,Total Interactions,Type_Link,Type_Photo,Type_Status,Type_Video
0,139441,2,12,4,3,0,2752,5091,178,109,159,3078,1640,119,4,79,17,100,0,1,0,0
1,139441,2,12,3,10,0,10460,19057,1457,1361,1674,11710,6112,1108,5,130,29,164,0,0,1,0
2,139441,3,12,3,3,0,2413,4373,177,113,154,2812,1503,132,0,66,14,80,0,1,0,0
3,139441,2,12,2,10,1,50128,87991,2211,790,1119,61027,32048,1386,58,1572,147,1777,0,1,0,0
4,139441,2,12,2,3,0,7244,13594,671,410,580,6228,3200,396,19,325,49,393,0,1,0,0
5,139441,2,12,1,9,0,10472,20849,1191,1073,1389,16034,7852,1016,1,152,33,186,0,0,1,0
6,139441,3,12,1,3,1,11692,19479,481,265,364,15432,9328,379,3,249,27,279,0,1,0,0
7,139441,3,12,7,9,1,13720,24137,537,232,305,19728,11056,422,0,325,14,339,0,1,0,0
8,139441,2,12,7,3,0,11844,22538,1530,1407,1692,15220,7912,1250,0,161,31,192,0,0,1,0
9,139441,3,12,6,10,0,4694,8668,280,183,250,4309,2324,199,3,113,26,142,0,1,0,0
10,139441,2,12,5,10,0,21744,42334,4258,4100,4540,37849,18952,3798,0,233,19,252,0,0,1,0
11,139441,2,12,5,10,0,3112,5590,208,127,145,3887,2174,165,0,88,18,106,0,1,0,0
12,139441,2,12,5,10,0,2847,5133,193,115,133,3779,2072,152,0,90,14,104,0,1,0,0
13,139441,2,12,5,3,0,2549,4896,249,134,168,3631,1917,183,5,137,10,152,0,1,0,0
14,138414,2,12,4,5,1,22784,39941,887,337,417,34415,19312,684,2,577,20,599,0,1,0,0
15,138414,2,12,3,10,0,10060,19680,1264,1209,1425,17272,8548,1162,4,86,18,108,0,0,1,0
16,138414,3,12,3,3,0,1722,2981,163,123,148,1868,1050,123,2,40,12,54,0,1,0,0
17,138414,1,12,2,12,1,53264,111785,1706,1103,1655,92512,39776,1307,15,678,20,713,0,1,0,0
18,138414,3,12,2,3,0,3930,7509,130,86,112,5009,2410,101,4,54,17,75,0,0,1,0
19,138414,3,12,1,11,0,1591,2825,121,88,111,2116,1161,100,0,34,8,42,0,1,0,0
20,138414,2,12,1,3,0,2848,5066,200,142,184,3561,1963,157,3,66,12,81,0,1,0,0
21,138414,1,12,7,10,0,1384,2467,15,15,20,2196,1172,15,0,0,0,0,0,1,0,0
22,138414,1,12,7,10,0,3454,6853,118,104,130,6282,3100,106,0,16,2,18,1,0,0,0
23,138414,3,12,7,3,0,2723,4888,176,118,143,2964,1621,143,0,72,24,96,0,1,0,0
24,138414,2,12,6,10,0,8488,15294,1341,1270,1489,9684,5244,995,3,99,19,121,0,0,1,0
25,138458,2,12,6,3,0,8284,15104,1521,1462,1711,10266,5372,1200,0,88,18,106,0,0,1,0
26,138458,2,12,5,11,0,19552,34143,2806,2531,3420,17748,9824,1779,10,412,72,494,0,0,1,0
27,138458,3,12,5,3,0,2478,4306,212,124,149,2612,1443,166,0,100,17,117,0,1,0,0
28,138895,2,12,5,3,0,9560,18264,973,559,885,9217,4748,621,36,523,63,622,0,1,0,0
29,138895,1,12,4,11,1,36208,61262,1141,1068,1728,30131,14112,559,18,143,13,174,0,0,0,1
30,138895,2,12,4,2,0,4940,9390,385,306,501,5860,2930,273,33,107,22,162,0,1,0,0
31,138895,2,12,3,10,0,1683,2929,192,171,221,1585,858,131,1,27,11,39,0,1,0,0
32,138895,3,12,3,3,0,5280,9578,368,237,345,4480,2422,268,2,155,47,204,0,1,0,0
33,138895,3,12,2,9,0,3002,5318,268,185,247,3039,1676,194,4,98,23,125,0,1,0,0
34,138895,1,12,2,3,0,3766,7149,298,260,431,5782,2938,244,2,56,17,75,0,1,0,0
35,138895,2,12,1,11,0,4512,7808,423,284,431,5183,2954,316,6,172,21,199,0,1,0,0
36,138895,3,12,1,3,0,2690,4628,252,168,226,3052,1727,199,0,96,17,113,0,1,0,0
37,138895,1,12,7,10,1,19800,28663,479,424,805,5187,2752,248,16,76,8,100,0,1,0,0
38,138895,2,12,7,9,0,17576,33058,5352,5202,6547,23135,11792,4104,11,227,31,269,0,0,1,0
39,138895,1,12,7,3,0,3290,6085,306,284,402,4986,2584,247,1,44,14,59,0,1,0,0
40,138895,2,12,6,11,0,13280,24198,2055,1912,2720,17627,9344,1716,7,216,39,262,0,0,1,0
41,138895,1,12,6,3,1,18480,28438,517,366,460,12078,6752,319,6,187,18,211,1,0,0,0
42,138353,1,12,5,10,0,7268,13989,2087,2079,12074,13544,7096,1975,7,26,3,36,0,1,0,0
43,138353,1,12,5,3,1,2645,4270,134,109,170,2330,1377,101,7,29,10,46,1,0,0,0
44,138353,1,12,4,11,0,4284,8387,355,316,513,7283,3634,291,0,47,11,58,0,1,0,0
45,138353,1,12,4,3,1,7968,13023,206,158,223,6734,3492,138,4,57,10,71,1,0,0,0
46,138353,1,12,3,11,0,16576,30612,3572,3464,4802,24363,12888,3014,4,174,36,214,0,0,1,0
47,138353,1,12,3,2,0,1925,3481,97,83,126,2307,1180,77,6,18,8,32,1,0,0,0
48,138353,1,12,2,11,0,3786,7329,338,283,450,6336,3216,280,0,77,15,92,0,1,0,0
49,138353,1,12,2,2,0,1536,3094,84,76,99,2903,1407,76,1,12,1,14,1,0,0,0
50,138353,2,11,1,9,0,1728,3155,108,65,95,2313,1232,77,1,48,9,58,0,1,0,0
51,138329,1,11,1,3,1,25248,40125,726,467,863,16132,8608,451,24,285,28,337,0,1,0,0
52,138329,1,11,7,9,0,4894,8899,355,181,264,4914,2712,246,9,202,31,242,0,1,0,0
53,138329,1,11,7,3,0,2935,5439,237,182,401,3901,2044,201,4,64,19,87,0,1,0,0
54,138329,1,11,6,10,0,2425,4462,260,213,433,3017,1510,175,4,66,13,83,0,1,0,0
55,138329,1,11,6,2,1,16416,31950,459,411,539,21436,9568,363,2,65,14,81,0,0,0,1
56,138329,1,11,5,11,0,5812,10465,343,204,301,4976,2764,240,2,164,54,220,0,1,0,0
57,138329,1,11,5,3,0,2545,4846,165,131,167,3675,1901,134,0,40,13,53,0,1,0,0
58,138329,1,11,4,10,0,2257,4372,230,173,327,3188,1557,168,3,76,11,90,0,1,0,0
59,138329,1,11,4,3,1,27072,84885,421,304,487,35637,9712,263,4,139,17,160,0,1,0,0
60,138185,1,11,3,11,1,10940,27951,417,335,591,15066,5100,319,8,101,14,123,0,1,0,0
61,138185,1,11,3,2,1,50912,164528,630,513,952,54653,12704,346,8,144,10,162,0,1,0,0
62,138185,1,11,2,10,1,28752,47358,802,654,1268,14091,7456,408,10,179,13,202,0,1,0,0
63,138185,1,11,2,3,1,27216,81908,541,335,540,26869,7760,315,4,219,22,245,0,1,0,0
64,138185,1,11,1,10,0,2352,5234,232,182,258,4101,1761,181,2,60,7,69,0,1,0,0
65,138185,1,11,1,3,0,3416,6167,356,298,641,4530,2388,280,19,77,23,119,0,1,0,0
66,138185,1,11,7,11,0,2149,4120,197,156,219,3302,1640,161,0,48,7,55,0,1,0,0
67,138185,1,11,7,3,1,53456,93790,1576,995,1469,32646,14912,884,20,697,70,787,0,1,0,0
68,138185,1,11,6,11,0,2168,3891,211,168,202,2873,1539,171,0,53,17,70,0,1,0,0
69,137893,1,11,6,3,0,3102,5939,360,288,512,3537,1780,275,7,84,28,119,0,1,0,0
70,137893,1,11,5,10,1,39344,103050,588,460,695,39304,11392,336,7,146,9,162,0,1,0,0
71,137893,1,11,5,3,1,100768,220447,2101,1735,2331,59658,18880,885,17,449,84,550,0,0,0,1
72,137893,3,11,4,11,0,9056,16362,1006,847,1153,9562,5180,740,3,226,44,273,0,0,1,0
73,137893,1,11,4,2,1,11444,46054,555,418,717,13737,4320,438,14,172,47,233,0,1,0,0
74,137893,1,11,3,11,0,13544,30235,517,458,667,26622,11760,447,2,99,13,114,0,0,0,1
75,137893,1,11,3,2,1,37376,68610,1150,808,1341,22100,10880,724,20,411,74,505,0,1,0,0
76,137893,1,11,3,2,0,1228,2392,17,17,19,2392,1228,17,0,0,0,0,0,1,0,0
77,137177,1,11,1,10,0,22984,59040,438,374,542,12716,4968,262,4,85,8,97,0,1,0,0
