iter	Passed	Remaining
0	2	2454
1	4	2407
2	7	2371
3	9	2484
4	12	2397
5	14	2323
6	16	2272
7	18	2241
8	20	2233
9	22	2207
10	25	2250
11	27	2223
12	29	2204
13	31	2187
14	33	2169
15	35	2161
16	37	2162
17	39	2170
18	40	2106
19	42	2096
20	44	2093
21	47	2104
22	49	2114
23	52	2115
24	54	2138
25	56	2130
26	59	2127
27	61	2120
28	63	2113
29	65	2104
30	67	2096
31	69	2107
32	71	2101
33	73	2098
34	75	2091
35	77	2085
36	79	2077
37	81	2052
38	83	2058
39	85	2054
40	87	2047
41	88	2019
42	90	2013
43	92	2006
44	94	2001
45	95	1983
46	98	1989
47	100	1985
48	102	1981
49	104	1977
50	106	1974
51	108	1969
52	109	1965
53	112	1965
54	114	1965
55	116	1966
56	118	1964
57	120	1960
58	122	1954
59	124	1949
60	127	1962
61	129	1966
62	132	1968
63	134	1965
64	136	1959
65	138	1955
66	140	1950
67	142	1954
68	144	1953
69	146	1950
70	148	1946
71	150	1941
72	152	1937
73	154	1933
74	156	1931
75	158	1929
76	160	1926
77	162	1923
78	165	1925
79	167	1931
80	170	1934
81	173	1941
82	175	1939
83	177	1936
84	179	1933
85	181	1929
86	183	1929
87	185	1920
88	187	1919
89	189	1916
90	191	1914
91	193	1912
92	195	1908
93	198	1908
94	198	1894
95	201	1895
96	203	1892
97	205	1890
98	207	1887
99	208	1874
100	210	1871
101	212	1868
102	214	1867
103	217	1872
104	219	1870
105	221	1867
106	223	1864
107	225	1861
108	227	1861
109	231	1876
110	234	1876
111	236	1873
112	238	1870
113	240	1866
114	242	1864
115	244	1860
116	247	1866
117	249	1865
118	251	1864
119	253	1862
120	256	1860
121	258	1858
122	260	1860
123	263	1858
124	264	1854
125	267	1853
126	269	1852
127	271	1851
128	274	1851
129	277	1855
130	279	1856
131	283	1863
132	284	1852
133	285	1845
134	287	1842
135	290	1844
136	292	1844
137	295	1843
138	297	1841
139	299	1838
140	301	1834
141	303	1833
142	306	1834
143	308	1832
144	310	1830
145	312	1829
146	314	1826
147	316	1823
148	319	1824
149	321	1823
150	324	1821
151	326	1819
152	328	1816
153	330	1817
154	333	1820
155	336	1819
156	338	1819
157	339	1811
158	341	1808
159	344	1806
160	346	1805
161	349	1806
162	351	1805
163	354	1806
164	356	1806
165	359	1805
166	361	1802
167	363	1801
168	366	1802
169	368	1800
170	370	1797
171	373	1795
172	375	1793
173	377	1791
174	379	1791
175	382	1788
176	384	1786
177	386	1784
178	388	1781
179	390	1777
180	393	1778
181	395	1777
182	397	1774
183	399	1771
184	401	1769
185	403	1766
186	405	1763
187	408	1765
188	411	1763
189	413	1760
190	415	1758
191	417	1756
192	419	1753
193	421	1751
194	424	1750
195	426	1748
196	428	1746
197	430	1744
198	432	1741
199	434	1738
200	437	1738
201	439	1736
202	441	1733
203	443	1731
204	445	1726
205	447	1723
206	449	1720
207	451	1719
208	454	1718
209	456	1715
210	458	1713
211	460	1711
212	462	1709
213	464	1706
214	467	1705
215	469	1703
216	471	1701
217	473	1699
218	475	1696
219	477	1692
220	479	1690
221	482	1689
222	484	1687
223	486	1685
224	488	1683
225	490	1680
226	492	1677
227	494	1675
228	498	1676
229	500	1675
230	503	1674
231	505	1673
232	507	1671
233	509	1669
234	512	1667
235	514	1665
236	516	1664
237	518	1661
238	521	1659
239	523	1657
240	525	1656
241	528	1654
242	530	1651
243	532	1650
244	535	1648
245	537	1646
246	539	1644
247	542	1644
248	544	1641
249	546	1639
250	548	1636
251	550	1634
252	552	1631
253	555	1631
254	557	1628
255	559	1626
256	561	1624
257	564	1622
258	566	1619
259	568	1617
260	570	1616
261	572	1613
262	575	1611
263	577	1609
264	579	1608
265	581	1605
266	584	1604
267	586	1601
268	588	1599
269	590	1597
270	592	1594
271	595	1593
272	597	1591
273	600	1590
274	602	1587
275	604	1584
276	606	1582
277	608	1579
278	609	1576
279	611	1573
280	614	1572
281	616	1570
282	618	1567
283	620	1564
284	622	1561
285	624	1559
286	626	1556
287	629	1555
288	631	1552
289	633	1549
290	635	1547
291	636	1544
292	638	1541
293	640	1538
294	642	1536
295	645	1534
296	647	1531
297	649	1528
298	651	1526
299	652	1523
300	654	1520
301	656	1518
302	659	1516
303	661	1514
304	663	1512
305	666	1511
306	668	1509
307	670	1507
308	673	1506
309	675	1504
310	677	1501
311	679	1499
312	682	1496
313	684	1494
314	686	1492
315	688	1490
316	690	1488
317	692	1486
318	695	1483
319	697	1481
320	699	1479
321	701	1476
322	704	1477
323	707	1475
324	709	1472
325	711	1470
326	714	1469
327	716	1467
328	718	1465
329	721	1464
330	723	1462
331	725	1459
332	727	1457
333	729	1455
334	732	1453
335	734	1451
336	736	1449
337	738	1445
338	740	1443
339	742	1440
340	744	1438
341	746	1435
342	748	1434
343	750	1431
344	752	1429
345	755	1427
346	757	1425
347	759	1422
348	762	1421
349	764	1419
350	766	1417
351	768	1415
352	770	1412
353	772	1410
354	774	1407
355	777	1406
356	779	1404
357	781	1402
358	784	1400
359	786	1397
360	788	1395
361	790	1393
362	793	1391
363	795	1389
364	797	1387
365	799	1385
366	801	1382
367	803	1380
368	806	1378
369	808	1377
370	810	1374
371	813	1372
372	815	1370
373	817	1367
374	819	1365
375	821	1363
376	823	1361
377	826	1359
378	828	1357
379	831	1356
380	833	1354
381	836	1353
382	839	1351
383	841	1349
384	843	1347
385	845	1344
386	847	1342
387	849	1340
388	851	1337
389	853	1335
390	856	1333
391	858	1331
392	860	1328
393	862	1326
394	865	1325
395	867	1322
396	869	1321
397	871	1318
398	874	1316
399	876	1314
400	879	1313
401	881	1311
402	884	1309
403	886	1307
404	888	1305
405	890	1303
406	892	1300
407	895	1299
408	898	1298
409	900	1296
410	902	1293
411	904	1290
412	906	1288
413	909	1287
414	911	1285
415	914	1283
416	916	1281
417	918	1278
418	920	1276
419	922	1273
420	924	1272
421	927	1269
422	929	1267
423	931	1264
424	933	1262
425	935	1260
426	937	1257
427	940	1256
428	942	1254
429	944	1251
430	946	1249
431	948	1247
432	950	1244
433	952	1242
434	955	1240
435	957	1238
436	958	1234
437	960	1232
438	962	1230
439	964	1227
440	966	1225
441	969	1223
442	971	1221
443	973	1218
444	975	1216
445	977	1214
446	979	1211
447	981	1209
448	984	1207
449	986	1205
450	988	1202
451	990	1200
452	992	1198
453	994	1196
454	998	1195
455	1000	1193
456	1002	1191
457	1005	1190
458	1007	1187
459	1009	1185
460	1012	1183
461	1014	1181
462	1016	1179
463	1018	1176
464	1020	1174
465	1022	1172
466	1025	1170
467	1027	1168
468	1029	1165
469	1031	1163
470	1034	1161
471	1036	1159
472	1038	1156
473	1041	1155
474	1043	1153
475	1045	1151
476	1047	1148
477	1049	1146
478	1051	1143
479	1053	1141
480	1056	1139
481	1058	1137
482	1060	1134
483	1062	1132
484	1064	1129
485	1066	1127
486	1067	1124
487	1069	1122
488	1072	1121
489	1074	1118
490	1076	1116
491	1078	1113
492	1080	1111
493	1082	1108
494	1084	1106
495	1087	1104
496	1089	1102
497	1091	1100
498	1093	1097
499	1095	1095
500	1097	1093
501	1100	1091
502	1102	1089
503	1104	1086
504	1107	1085
505	1114	1088
506	1116	1085
507	1118	1083
508	1120	1081
509	1123	1079
510	1125	1076
511	1127	1074
512	1130	1073
513	1132	1071
514	1135	1069
515	1137	1066
516	1139	1064
517	1141	1062
518	1144	1061
519	1147	1058
520	1149	1056
521	1151	1054
522	1153	1051
523	1155	1049
524	1157	1047
525	1160	1046
526	1163	1044
527	1166	1042
528	1168	1040
529	1170	1038
530	1173	1036
531	1176	1034
532	1178	1032
533	1180	1030
534	1182	1028
535	1185	1025
536	1188	1024
537	1190	1022
538	1192	1020
539	1195	1018
540	1197	1015
541	1199	1013
542	1202	1012
543	1205	1010
544	1208	1008
545	1210	1006
546	1212	1004
547	1215	1002
548	1217	1000
549	1219	998
550	1222	995
551	1224	993
552	1226	991
553	1228	988
554	1230	986
555	1233	984
556	1235	982
557	1237	979
558	1239	977
559	1241	975
560	1242	972
561	1244	970
562	1247	968
563	1249	965
564	1251	963
565	1253	961
566	1255	958
567	1257	956
568	1259	953
569	1261	951
570	1263	949
571	1265	946
572	1267	944
573	1272	944
574	1278	944
575	1283	944
576	1288	944
577	1293	944
578	1298	943
579	1302	943
580	1307	943
581	1312	942
582	1317	942
583	1321	941
584	1327	941
585	1330	940
586	1335	939
587	1342	940
588	1347	940
589	1351	939
590	1357	939
591	1361	938
592	1366	937
593	1371	937
594	1376	936
595	1380	936
596	1386	935
597	1391	935
598	1395	934
599	1401	934
600	1405	933
601	1410	932
602	1415	931
603	1420	931
604	1424	930
605	1430	929
606	1435	929
607	1440	928
608	1445	927
609	1450	927
610	1454	926
611	1459	925
612	1464	924
613	1469	923
614	1473	922
615	1478	921
616	1483	920
617	1487	919
618	1493	919
619	1497	917
620	1502	917
621	1510	917
622	1514	916
623	1520	916
624	1525	915
625	1530	914
626	1535	913
627	1539	912
628	1544	910
629	1548	909
630	1554	908
631	1558	907
632	1563	906
633	1568	905
634	1573	904
635	1577	903
636	1583	902
637	1588	901
638	1592	899
639	1598	898
640	1602	897
641	1607	896
642	1613	895
643	1618	894
644	1623	893
645	1629	892
646	1634	891
647	1638	890
648	1644	889
649	1648	887
650	1652	886
651	1658	885
652	1663	883
653	1667	882
654	1674	881
655	1679	880
656	1684	879
657	1690	878
658	1694	876
659	1699	875
660	1704	874
661	1709	872
662	1713	871
663	1718	869
664	1723	868
665	1727	866
666	1733	865
667	1738	863
668	1742	862
669	1748	861
670	1753	859
671	1757	858
672	1763	856
673	1768	855
674	1773	853
675	1779	852
676	1784	851
677	1790	850
678	1795	848
679	1800	847
680	1805	845
681	1810	844
682	1815	842
683	1819	840
684	1825	839
685	1829	837
686	1834	835
687	1839	834
688	1845	833
689	1850	831
690	1856	830
691	1861	828
692	1865	826
693	1871	825
694	1875	823
695	1880	821
696	1886	819
697	1890	817
698	1895	816
699	1901	814
700	1905	812
701	1910	810
702	1915	809
703	1920	807
704	1925	805
705	1931	804
706	1935	802
707	1940	800
708	1945	798
